(0,980)
(1,966)
(2,1036)
(3,955)
(4,1011)
(5,985)
(6,978)
(7,1060)
(8,1024)
(9,965)
(10,1052)
(11,1056)
(12,1042)
(13,999)
(14,1006)
(15,932)
(16,974)
(17,1002)
(18,960)
(19,1026)
(20,1013)
(21,991)
(22,1050)
(23,1008)
(24,1083)
(25,955)
(26,1045)
(27,930)
(28,991)
(29,942)
(30,995)
(31,1030)
(32,971)
(33,993)
(34,1016)
(35,1042)
(36,1011)
(37,1004)
(38,1051)
(39,990)
(40,947)
(41,1039)
(42,981)
(43,990)
(44,1003)
(45,978)
(46,1014)
(47,969)
(48,978)
(49,1097)
(50,949)
(51,1024)
(52,1002)
(53,1008)
(54,973)
(55,1052)
(56,968)
(57,1026)
(58,993)
(59,929)
(60,1007)
(61,984)
(62,984)
(63,957)
(64,984)
(65,1072)
(66,1009)
(67,1031)
(68,1025)
(69,1046)
(70,1006)
(71,1013)
(72,1004)
(73,957)
(74,1005)
(75,965)
(76,999)
(77,989)
(78,1027)
(79,1005)
(80,992)
(81,986)
(82,1010)
(83,952)
(84,944)
(85,1019)
(86,990)
(87,954)
(88,962)
(89,994)
(90,1031)
(91,1023)
(92,986)
(93,1013)
(94,1027)
(95,980)
(96,972)
(97,1013)
(98,1025)
(99,1018)
